意味	キーワード	発言１		発言２		発言３	
親決め選択前に	before_oya	……覚悟はよろしいですか？\nそれではチュートリアルを開始します。	うん。	中央にある場札から\nどちらか１枚をお選びください。	えらぶ。	選んだ札の「月」が早い方が親です。\n親が先攻になります。	
親決め選択後に	after_oya	%oya%が親になりました。\n手札と場札をお配りします。					
ラウンド開始後、選択状態に入る前に	roundstart	札を配り終えました。%tefuda%%bafuda%\n%oya%のターンから開始です。					
場に同月3枚	samemon3	場に同じ月の札が３枚ある時は\nまとめます。	まとめちゃうの？	さらに同じ月の札を出せば\n３枚とも取れます。	全部で４枚とれるのね。		
プレイヤーターン-手札	plte	手札を１枚選んでください。\n%tefuda%場札からも選べます。%bafuda%	うん。でも、どれ？	取れる札には、\n水色の枠が表示されております。	ホントだ。	マウスカーソルを合わせたときに\n点滅しているのは同じ月の札です。	
プレイヤーターン-手札(合札なし)	plte_none	手札と場札に、同じ月の札がありませんね。\nそれでもやはり札を１枚捨ててください。	え〜。どれにしよう。	ひとまずは\nカス札を捨てるとよろしいかと。	いちばん安い札？	札と役の関係を飲み込んできたら\n残すべき札もだんだんおわかりに\nなるでしょう。	
プレイヤーターン-手札(合札有り)	plte1	お気づきですね？\n場に同じ月の札があります。	ある。				
プレイヤーターン-手札(合札2枚)	plte2	場に同じ月の札が２枚ありますね。\nどちらかお選びください。%bafuda%	うん。				
プレイヤーターン-手札(合札を取った)	plte3	この札はあなたのものです。\n手元へ移動します。	取る。				
プレイヤーターン-手札(合札なし)	plte4	同じ月の札が場にありませんので\n手札は場に残ります。	取れないんだ……				
プレイヤーターン-手札(手札に合札2枚)	plte5	選んだ場札と同じ月の手札が\n２枚あります。\nどちらかお選びください。%tefuda%	えらぶ。				
プレイヤーターン-山札	plyama	次に山札を１枚引きます。%yamafuda%\nこの札は必ず場に出されます。					
プレイヤーターン-山札(場に合札がある)	plyama1	場に、引いた札と同じ月の札がありました。					
プレイヤーターン-山札(場に合札が2枚ある)	plyama2	同じ月の札が２枚あります。\nどちらか選んでください。	えらぶ。				
プレイヤーターン-山札(選んだら)	plyama3	この札はあなたのものです。	うん。				
プレイヤーターン-山札(合札なし)	plyama4	同じ月の札が場にないようですね。\nこの札は場に捨てられます。	取れないのね……				
プレイヤーターン-終了	plend	よろしいですか？\nここまでがあなたのターンです。	うん。	途中で札の種類や出来役を忘れたら\n左の「役一覧」「札一覧」ボタンを押して\n確認してください。%list%	らじゃー。		
いずれかがテンパイになったら	tenpai	あと一枚で、%player%に役が出来ます。	役のアイコンが出た。	取った札の下にある役アイコンを\n右クリックすると、どの札が必要なのか\n表示されます。どうぞ、ご参考に。	ご親切にどうも。		
CPUに役ができたら	cpuyaku	わたしの持ち札に役が揃いました。	えっ				
CPUに役ができたら(こいこい)	cpukoikoi	揃いましたが点数的に不満です。\nまだ新しい役も作れそうです。\nなので「こいこい」してゲームを続けます。	ほっ……				
CPUに役ができたら(勝負)	cpuagari	役が出来たのであがってみましょう。\nこいこいではあがることを「勝負」と\n呼びます。	するの？				
プレイヤーに役ができたら	plyaku	役が出来たら\n「こいこい」か「勝負」を選びます。	う〜ん……	まだ役が作れそうだったり、\n点数に不満なときは\n「こいこい」してプレイを継続します。	ふむ。	決着をつけるときは「勝負」です。\nこいこいでは、あがることを\n「勝負」と呼びます。	ふむふむ。
対戦終了(勝負あり)	kachimake	「勝負」すると、役の点数が\n相手の持ち点から引かれます。	おお。	勝ったほうが次回は親になります。			
対戦終了(引き分け)	hikiwake	どちらにも役が出来なかったり、\nまたは「こいこい」してあがりそこねて\nそのまま手札がなくなると「引き分け」です。	ざんねん。	引き分けでは持ち点は減らず、\n親も交代しません。			
おわり	finish	チュートリアルは１ラウンドのみですが、\n実際のプレイでは相手の点数が０文になる\nまで続けられます。%cpupoint%	なるほど	最初はわかりづらいかもしれませんが、\n札や役をおぼえながら楽しんでください。	うん。	―――それでは、御武運を。	
